ID;Nombre;Marca;Especie;Etapa_de_Vida;PB(%);EE(%);Ash(%);Humedad(%);FC(%);ENA(%);FC_MS (%);GE(kcal);DE(kcal);ME(kcal);Precio_USD_kg;Ingredientes (5 primeros de la lista);Fuente_PB;Fuente_EE;Fuente_FC;Otros
1;Vet life natural canine cardiac; Farmina Pet Foods;canino;Adulto;24,00;18,00;6,90;9,00;3,40;38,70;3,74;478,61;410,92;385,96;18,50;Sub-producto de arroz, harina de vísceras de aves, avena sin cáscara, aceite de pescado refinado, huevo en polvo;"harina de vísceras de aves; huevo en polvo";aceite de pescado refinado;"sub-producto de arroz; avena sin cáscara";—
2;Vet life natural canine renal; Farmina Pet Foods;Canino ;Adulto;13,30;17,00;4,60;9,00;1,60;54,50;1,76;465,62;412,94;399,11;13,63;Sub-producto de arroz, huevo en polvo, grasa de pollo, aceite de pescado refinado, semilla de linaza;huevo en polvo;"grasa de pollo; aceite de pescado refinado; semilla de linaza";sub-producto de arroz;—
3;Balan Can;Agripac;Canino;Adultos;18,00;7,00;8,00;12,00;6,00;49,00;6,82;393,90;320,83;302,11;1,29;Harina de trigo integral, maíz, salvado de trigo, arroz partido, harina de pollo;harina de pollo;—;"harina de trigo integral; maíz; salvado de trigo; arroz partido";—
4;Buen Can ;Agripac;Canino ;Adultos Razas medianas y grandes;21,00;7,00;10,00;10,00;4,00;48,00;4,44;398,70;338,27;316,43;1,36;Maíz, trigo, pasta de soya, salvado de trigo, harina de pollo;"pasta de soya; harina de pollo";—;"maíz; trigo; salvado de trigo";—
5;Alcon Dog Food Adultos Sabor A Pollo;Agripac;Canino ;Adultos;21,00;7,00;7,50;10,00;4,00;50,50;4,44;408,95;346,97;325,13;1,50;Maíz, Pasta de soya, Harma de pollo, Harina de trigo integra, Afrechillo de trigo;"pasta de soya; Harma de pollo";—;"Maíz; Harina de trigo integra; Afrechillo de trigo";—
6;Nutrapro Cachorros razas medianas y grandes;Agripac;Canino ;Cachorro ;27,00;8,00;8,00;12,00;4,00;41,00;4,55;413,60;350,32;322,24;3,80;Harina de pollo, arroz, maíz, Núcleo Nutra Pro Cachorros, Gluten de maíz,;"Harina de pollo; Gluten de maíz";—;"arroz; maíz";Núcleo Nutra Pro Cachorros
7;Nutrapro Cachorros razas pequeńas y miniaturas ;Agripac;Canino ;Cachorro ;29,00;13,00;8,00;12,00;3,00;35,00;3,41;443,30;382,68;352,52;4,56;Harina de pollo, maíz, arroz, gluten de maíz, Núcleo Nutra Pro Cachorros, ;"Harina de pollo; gluten de maíz";—;"maíz; arroz";Núcleo Nutra Pro Cachorros
8;Nutrapro Adultos razas medianas y grandes ;Agripac;Canino ;Adultos;21,00;7,00;8,00;12,00;4,00;48,00;4,55;398,70;337,70;315,86;3,45;Harina de pollo, arroz, trigo y/o subproductos, maíz, Núcleo Nutra Pro Adultos,;Harina de pollo;—;"arroz; trigo y/o subproductos; maíz";Núcleo Nutra Pro Adultos
9;Nutrapro Adultos razas pequeńas y miniaturas ;Agripac;Canino ;Adultos ;23,00;8,00;10,00;12,00;4,00;43,00;4,55;399,00;337,95;314,03;4,39;Harina de pollo, arroz, maíz, trigo y/o subproductos, Núcleo Nutra Pro Adultos;Harina de pollo;—;"arroz; maíz; trigo y/o subproductos";Núcleo Nutra Pro Adultos
10;Wellness super premium adultos razas pequeńas y medianas;Agripac;Canino ;Adultos ;28,00;10,00;9,00;10,00;4,00;39,00;4,44;429,90;364,75;335,63;9,56;Harina de salmón, harina de pollo, almidón de yuca, aceite de pollo, hidrolizado de pollo y cerdo, ;"Harina de salmón; harina de pollo; hidrolizado de pollo y cerdo";aceite de pollo;almidón de yuca;—
11;Wellness super premium adultos razas medianas y grandes ;Agripac;Canino ;Adultos ;23,00;10,00;9,00;10,00;4,00;44,00;4,44;421,90;357,96;334,04;14,00;Harina de salmón, harina de pollo, almidón de yuca, aceite de pollo, hidrolizado de pollo y cerdo, ;"Harina de salmón; harina de pollo; hidrolizado de pollo y cerdo";aceite de pollo;almidón de yuca;—
12;NutraPro;Agripac ;Canino ;Adultos razas medianas y grandes;21,00;7,00;8,00;12,00;4,00;48,00;4,55;398,70;337,70;315,86;6,50;Harina de pollo, arroz, trigo y/o subproductos, maíz, Núcleo Nutra Pro Adultos (pulpa de remolacha, levadura de cerveza, Saccharomyces cerevisiae, huevo en polvo);"Harina de pollo; huevo en polvo";—;"arroz; trigo y/o subproductos; maíz; pulpa de remolacha";"Núcleo Nutra Pro Adultos; levadura de cerveza; Saccharomyces cerevisiae"
13;NutraPro;Agripac ;Canino;Adulto razas pequeńas y miniaturas;23,00;8,00;10,00;12,00;4,00;43,00;4,55;399,00;337,95;314,03;6,87;Harina de pollo, arroz, maíz, trigo y/o subproductos, núcleo nutra pro adultos (pulpa de remolacha, levadura de cerveza, huevo en polvo);"Harina de pollo; huevo en polvo";—;"arroz; maíz; trigo y/o subproductos; pulpa de remolacha";"núcleo nutra pro adultos; levadura de cerveza"
14;NutaPro;Agripac ;Canino;Cachorros razas medianas y grandes;27,00;8,00;8,00;12,00;3,50;41,50;3,98;413,60;353,68;325,60;3,50;Harina de pollo, arroz, maíz, núcleo nutra pro cachorros (pulpa de remolacha), levadura de cerveza;Harina de pollo;—;"arroz; maíz; pulpa de remolacha";"núcleo nutra pro cachorros; levadura de cerveza"
15;NutraPro;Agripac ;Canino;Cachorros razas pequeńas y miniaturas;29,00;13,00;8,50;12,00;3,00;34,50;3,41;441,25;380,91;350,75;4,93;Harina de pollo, maíz, arroz, gluten de maíz, núcleo nutra pro cachorros (pulpa de remolacha, levadura de cerveza, huevo en polvo);"Harina de pollo; gluten de maíz; huevo en polvo";—;"maíz; arroz; pulpa de remolacha";"núcleo nutra pro cachorros; levadura de cerveza"
16;Buen Can sabor a pollo y yogurt;Agripac ;Canino ;Cachorros ;25,00;7,00;10,00;10,00;5,00;43,00;5,56;405,10;337,27;311,27;2,58;Maíz, pasta de soya, trigo, harina de pollo, afrechillo de trigo;"pasta de soya; harina de pollo";—;"maíz; trigo; afrechillo de trigo";—
17;MV Sensibilidad;AGROINDISTRIAS BAIRES;Canino ;Adultos;23,00;12,00;8,00;10,00;4,00;43,00;4,44;436,60;370,43;346,51;12,00;Arroz, almidón de maíz y mandioca, harina de pescado, hidrolizado proteico de pollo, aceite de pollo,;"harina de pescado; hidrolizado proteico de pollo";aceite de pollo;"arroz; almidón de maíz y mandioca";—
18;Promix ;albex;Canino ;Adulto ;23,00;15,00;10,00;12,00;5,00;35,00;5,68;436,10;362,29;338,37;1,23;Harina de carne y/o aves, maiz, arroz, trigo, panela;Harina de carne y/o aves;—;"maiz; arroz; trigo; panela";—
19;Promix ;albex;Canino ;Cachorro;28,00;15,00;10,00;12,00;5,00;30,00;5,68;444,10;368,94;339,82;1,53;Harina de carne y/o aves, maíz, arroz, trigo, subproducto de trigo;Harina de carne y/o aves;—;"maíz; arroz; trigo; subproducto de trigo";—
20;Dogourmet;Alimentos Polar;Canino ;Adultos;21,00;6,00;10,00;12,00;4,00;47,00;4,55;385,20;326,26;304,42;2,68;Cereales y subproductos de cerales (maíz, arroz y/o trigo), harinas de carne y/o pescado, harina de soya, concetrados proteicos de origen vegetal / proteína animal hidrolizada, levadura de cerveza;"harinas de carne y/o pescado; harina de soya; proteína animal hidrolizada; concetrados proteicos de origen vegetal";—;cereales y subproductos de cerales (maíz, arroz y/o trigo);levadura de cerveza
21;Animacs Premium;Animacs;Canino ;Adulto;19,00;7,00;7,00;10,00;5,00;52,00;5,56;407,80;339,52;319,76;1,60;Maíz, harina de carne bovina, trigo, pasta de soya, arroz ,sebo de res;"harina de carne bovina; pasta de soya";—;"maíz; trigo; arroz";—
22;Animal planet nutribal;Animal planet nutribalance;Canino ;Adultos Razas medianas y grandes;20,00;12,00;4,00;12,00;4,00;48,00;4,55;440,00;372,68;351,88;9,00;Maiz, harina de carne, harina de pollo, Arroz, Soja ;"harina de carne; harina de pollo; soya";—;"maíz; arroz";—
23;ARION TITANIUM SENSICARE;Arion;Canino;Adulto;26,00;15,00;3,90;9,00;3,00;43,10;3,30;478,21;413,58;386,54;9,20;Arroz, pluma hidrolizada de bajo peso molecular, krill, pata, aceite de salmón;"pluma hidrolizada; krill";aceite de salmón;"arroz; papa";—
24;ARION TITANIUM COAT;Arion;Canino;Adulto;27,00;18,00;6,00;9,00;2,00;38,00;2,20;487,10;428,93;400,85;5,63;Carne de pavo deshidratada, arroz, trigo integral, aceite de salmón, krill;"carne de pavo deshidratada; krill";aceite de salmón;"arroz; trigo integral";—
25;Arion Titanium Growth;Arion;Canino;cachorro ;32,00;20,00;6,50;9,00;2,00;30,50;2,20;503,65;443,50;410,22;4,61;Carne de pollo deshidratada, arroz,trigo,grasa de ave, proteina de maíz ;"carne de pollo deshidratada; proteína de maíz";grasa de ave;"arroz; trigo";—
26;Arion Friends Petit;Arion;Canino;Adulto (razas pequeńas y miniatura);26,00;15,00;8,00;12,00;3,00;36,00;3,41;449,10;387,69;360,65;5,00;carne,cebada,trigo,salmon,arroz;"carne; salmón";—;"cebada; trigo; arroz";—
27;Arion Friends Senior;Arion;Canino;Adulto mayor (?7 ańos razas grandes / ?9 ańos razas pequeńas);22,00;11,00;4,00;12,00;5,00;46,00;5,68;437,90;363,79;340,91;4,00;arroz,cebada,trigo,proteina de ave , carne de res;"proteína de ave; carne de res";—;"arroz; cebada; trigo";—
28;Arion Friends Junior;Arion Friends Junior;Canino ;Cachorro / Junior;28,00;14,00;8,00;10,00;3,00;37,00;3,33;455,20;393,44;364,32;1,86;Pollo, arroz, maíz, grasa animal, pulpa de remolacha;pollo;grasa animal;"arroz; maíz; pulpa de remolacha";—
29;Arthur;Arthur;Canino ;Adulto;21,00;8,00;8,00;12,00;4,00;47,00;4,55;404,00;342,19;320,35;1,00;Maíz, harina de carne, trigo, pasta de soya, grasa animal;"harina de carne; pasta de soya";grasa animal;"maíz; trigo";—
30;AVANT PERROS SENIOR;Avant ;Canino ;Adultos;27,00;12,00;8,00;12,00;3,50;37,50;3,98;434,80;371,81;343,73;5,31;Carne de pollo y/o cerdo, harina de pollo, arroz, maíz y grasa animal y/o vegetal ;"carne de pollo; harina de pollo; soya";grasa animal y/o vegetal ;"maíz; arroz";—
31;AVANT PERROS CONTROL DE PESO ;Avant ;Canino ;Adultos;28,00;8,50;8,00;12,00;7,00;36,50;7,95;417,85;333,55;304,43;4,90;Carne de pollo y/o cerdo, harina de pollo, maíz, arroz y harina de pato ;"Carne de pollo y/o cerdo; harina de pollo; harina de pato";—;"maíz; arroz";—
32;Pepas Dog;Avipaz;Canino;Adulto;21,00;8,00;10,00;12,00;4,00;45,00;4,55;395,80;335,24;313,40;1,60;maiz amarillo,arroz,harina de carne y hueso,torta de soya,salvado de trigo;"harina de carne y hueso; torta de soya";—;"maiz amarillo; arroz; salvado de trigo";—
33; Max Vita;BALNOVA;Canino ;Adulto Razas pequenas;30,00;10,00;10,00;12,00;4,00;34,00;4,55;420,80;356,42;325,22;18,43;Harina de subproductos de pollo, Maiz, Harina de carne y hueso, trigo, grasa animal;"Harina de subproductos de pollo; Harina de carne y hueso";grasa animal;"Maiz; trigo";—
34; Max Vita;BALNOVA;Canino ;Adulto;26,00;10,00;10,00;12,00;5,00;37,00;5,68;414,40;344,26;317,22;4,00;Harina de subproductos de pollo, Maiz, Harina de carne y hueso, trigo, grasa animal;"Harina de subproductos de pollo; Harina de carne y hueso";grasa animal;"Maiz; trigo";—
35;Max Vita;BALNOVA;Canino ;Cachorro ;26,00;8,00;10,00;12,00;5,00;39,00;5,68;403,80;335,46;308,42;4,33;Harina de visceras de ave, harina de carne y hueso, maiz integral molido, germen de maiz desgrasado, salvado de gluten de maiz;"Harina de visceras de ave; harina de carne y hueso; salvado de gluten de maiz";—;"maiz integral molido; germen de maiz desgrasado";—
36;Cani super premium ;BioAlimentar;Canino ;Adultos razas pequeńas ;27,00;15,00;9,00;10,00;6,00;33,00;6,67;454,80;371,42;343,34;12,50;Carne de pato, carne de cordero, maíz, trigo, guisantes;"Carne de pato; carne de cordero; guisantes";—;"maíz; trigo";—
37;Mambo;BioAlimentar;Canino;Cachorro ;25,00;9,00;9,00;12,00;3,00;42,00;3,41;411,60;355,31;329,31;1,72;Maíz, harina de pollo, trigo, pasta de soya, DDGS;"harina de pollo; pasta de soya";—;"Maíz; trigo; DDGS";—
38;Cani;Bioalimentar;Canino ;Senior;22,00;6,00;8,00;12,00;4,00;48,00;4,55;395,00;334,57;311,69;2,93;Harinas proteicas de origen animal (carne de pollo y/o res y/o cerdo), cereales (arroz y/o trigo y/o maíz), proteina de origen vegetal (harina de soya y/o gluten de maíz), sub productos de cereales (arroz y/o maíz y/o trigo), grasas de origen animal (pollo y/o rez y/o cerdo);"Harinas proteicas de origen animal (carne de pollo y/o res y/o cerdo); proteina de origen vegetal (harina de soya y/o gluten de maíz)";grasas de origen animal (pollo y/o rez y/o cerdo);"cereales (arroz y/o trigo y/o maíz); sub productos de cereales (arroz y/o maíz y/o trigo)";—
39;Pal Perro;Bioalimentar;Canino ;Adulto;18,00;7,00;7,00;10,00;5,00;53,00;5,56;406,20;338,18;319,46;1,06;Trigo, harina de pollo, harina de pollo y/o cerdo, maíz, arroz;"harina de pollo; harina de pollo y/o cerdo";—;"Trigo; maíz; arroz";—
40;Granplus;BIOETIS;Canino ;Cachorro ;27,00;12,00;8,00;10,00;3,00;40,00;3,33;443,00;382,90;354,82;6,29;Harina de carne y hueso, harina visceras de ave, maiz, arroz quebrado, salvado de trigo;"Harina de carne y hueso; harina visceras de ave";—;"maiz; arroz quebrado; salvado de trigo";—
41;Adult Lamm & Reis;Bosch;Canino;Adulto;23,00;13,00;7,00;10,00;3,00;44,00;3,33;446,00;385,49;361,57;13,30;Harina de cordero, arroz, cebada, grasa animal, pulpa de remolacha, proteína vegetal, minerales, vitaminas, levadura;"Harina de cordero; proteína vegetal";grasa animal;"arroz; cebada; pulpa de remolacha";"minerales; vitaminas; levadura"
42;Mini Adult Lamm & Reis;Bosch;Canino;Adulto ;25,00;14,00;7,00;10,00;3,00;41,00;3,33;454,50;392,84;366,84;16,00;Harina de cordero, arroz, cebada, gra;Harina de cordero;—;"arroz; cebada";—
43;Bosch Maxi Junior;Bosch;Canino;Cachorro;26,00;12,00;7,00;12,00;3,00;40,00;3,41;437,30;377,50;350,46;34,90;Harina de pollo, arroz, cebada, maíz, grasa animal, pulpa de remolacha, proteína vegetal, minerales, vitaminas;"Harina de pollo; proteína vegetal";grasa animal;"arroz; cebada; maíz; pulpa de remolacha";"minerales; vitaminas"
44;Junior Lamm & Reis;Bosch;Canino;Cachorro ;25,00;13,00;7,00;10,00;3,00;42,00;3,33;449,20;388,26;362,26;15,90;Harina de cordero, arroz, cebada, grasa animal, proteína vegetal, pulpa de remolacha, minerales, vitaminas, levadura;"Harina de cordero; proteína vegetal";grasa animal;"arroz; cebada; pulpa de remolacha";"minerales; vitaminas; levadura"
45;Bravery iberian pork adult large medium breeds;Bravery ;canino;Adulto;26,00;15,00;7,90;9,00;2,50;39,60;2,75;461,81;403,03;375,99;7,49;carne de cerdo ibérico deshidratada/tapioca/grasa de ave/guisantes/levadura y extracto de levadura ;"carne de cerdo ibérico deshidratada; guisantes";grasa de ave;tapioca;"levadura; extracto de levadura"
46;Bravery chicken puppy large medium breeds;Bravery ;canino;cachorro;30,00;18,00;7,80;9,00;2,50;32,70;2,75;484,52;422,85;391,65;7,54;Carne de pollo deshidratada, tapioca, grasa de aveos , proteína de pollo hidrolizada, guisantes;"Carne de pollo deshidratada; proteína de pollo hidrolizada; guisantes";grasa de aveos;tapioca;—
47;Bravery dog chicken mini puppy small breeds;Bravery ;canino;cachorro ;31,00;22,00;7,80;9,00;2,50;27,70;2,75;507,32;442,75;410,51;4,98;Carne de pollo deshidratada, tapioca, grasa de aveos , proteína de pollo hidrolizada, guisantes;"Carne de pollo deshidratada; proteína de pollo hidrolizada; guisantes";grasa de aveos;tapioca;—
48;Bravery dog chicken adult large medium breeds;Bravery ;canino;Adulto;26,00;15,00;7,90;9,00;2,50;39,60;2,75;461,81;403,03;375,99;3,99;Carne de pollo deshidratada, tapioca, grasa de ave , guisantes, levadura y extracto de levadura-Saccharomyces cerevisiae;"Carne de pollo deshidratada; guisantes";grasa de ave;tapioca;"levadura; extracto de levadura-Saccharomyces cerevisiae"
49;Breeder Line Mini Lamb & Rice;Breeder Line;Canino;Adulto;24,00;14,00;7,00;10,00;3,00;42,00;3,33;452,90;391,46;366,50;16,60;Harina de cordero, arroz, maíz, grasa;Harina de cordero;—;"arroz; maíz";grasa
50;Breeder Line Sport;Breeder Line;Canino;Adulto;28,00;18,00;7,50;10,00;3,00;33,50;3,33;478,45;413,54;384,42;0,80;Harina de pollo, maíz, arroz, grasa animal, proteína vegetal, pulpa de remolacha, minerales, vitaminas, aceite vegetal, levadura;"Harina de pollo; proteína vegetal";"grasa animal; aceite vegetal";"maíz; arroz; pulpa de remolacha";"minerales; vitaminas; levadura"
51;CASTA DOG CACHORROS RAZAS PEQUEŃAS;Casta Dog;Canino;cachorro ;27,00;11,00;9,00;12,00;3,00;38,00;3,41;425,40;367,23;339,15;1,53;Maiz amarillo,harina de pollo,arroz,grasa de pollo,harina de pescado;"harina de pollo; harina de pescado";grasa de pollo;"Maiz amarillo; arroz";—
52;CASTA DOG ADULTOS RAZAS PEQUEŃAS;Casta Dog;Canino;Adulto ;22,00;10,00;8,00;10,00;4,00;46,00;4,44;424,40;360,08;337,20;4,30;Maíz, Harina carne, Soya, Trigo, Arroz;"Harina carne; Soya";—;"Maíz; Trigo; Arroz";—
53;Casta Dog Senior;Casta Dog;Canino ;Adultos todas las razas;30,00;10,00;8,00;12,00;4,00;36,00;4,55;429,00;363,36;332,16;2,20;Mix de carnes deshidratadas, arroz integral, maiz, avena y aceite de ave;Mix de carnes deshidratadas;aceite de ave;"arroz integral; maiz; avena";—
54;Casta Dog;Casta premiun plus;Canino ;Adultos;26,00;11,00;8,00;12,00;4,00;39,00;4,55;427,90;362,43;335,39;2,80;Maiz, harina de carne, arroz, trigo, harina de pollo;"harina de carne; harina de pollo";—;"Maiz; arroz; trigo";—
55;Orijen;Champion Petfoods;Canino;Adulto ;38,00;18,00;8,00;12,00;5,00;19,00;5,68;484,20;402,25;362,73;13,00;Pollo fresco, pavo fresco, huevos, hígado, pescado;"Pollo fresco; pavo fresco; huevos; hígado; pescado";—;—;—
56;Acana;Champion Petfoods;Canino;Adulto ;29,00;17,00;7,00;12,00;5,00;30,00;5,68;468,60;389,29;359,13;11,00;Pollo fresco, pavo fresco, huevos, hígado, pescado;"Pollo fresco; pavo fresco; huevos; hígado; pescado";—;—;—
57;Chucho Adulto Todas las Razas;Chucho;Canino ;Adulto ;20,00;6,00;8,00;12,00;5,00;49,00;5,68;391,80;325,49;304,69;1,32;Cereales, vegetales, saborizante cárnico, vitaminas, minerales ;—;—;"Cereales; vegetales";"saborizante cárnico; vitaminas; minerales"
58;Chunky Puppies;Chunky;Canino ;Cachorro;28,00;10,00;8,00;10,00;4,00;40,00;4,44;434,00;368,22;339,10;2,50;Harina de pollo, maíz, arroz, grasa animal, soya;"Harina de pollo; soya";grasa animal;"maíz; arroz";—
59;Chunky Adulto;Chunky;Canino ;Adulto;22,00;10,00;8,00;10,00;4,00;46,00;4,44;424,40;360,08;337,20;2,30;Harina de carne, maíz, trigo, grasa animal, arroz;Harina de carne;grasa animal;"maíz; trigo; arroz";—
60;Taste of the Wild;Diamond Pet Foods;Canino;Adulto ;32,00;18,00;8,80;10,00;4,00;27,20;4,44;479,52;406,85;373,57;9,00;Pato, harina de pato, harina de pollo, batata, guisantes;"Pato; harina de pato; harina de pollo; guisantes";—;batata;—
61;Dog Star Adulto Razas Pequeńas;Dog Star;Canino;Adulto;23,00;10,00;9,00;12,00;3,50;42,50;3,98;413,70;353,77;329,85;2,20;Maiz,Arroz,Harina de pollo,Harina de carne y hueso,Grasa animal preservada;"Harina de pollo; Harina de carne y hueso";Grasa animal preservada;"Maiz; Arroz";—
62;Dog Star Cachorros Razas pequeńas;Dog Star;Canino ;cachorro ;28,00;12,00;9,00;12,00;4,50;34,50;5,11;432,30;362,65;333,53;1,50;Maíz, Harina ave, Soya, Grasa animal;"Harina ave; Soya";Grasa animal;Maíz;—
63;DOGGIES;Doggies;Canino ;Adulto ;19,00;7,00;7,00;12,00;5,00;50,00;5,68;399,60;331,97;312,21;2,30;Maíz, Afrecho trigo, Harina carne, Soya;"Harina carne; Soya";—;"Maíz; Afrecho trigo";—
64;Dogourmet cachorros sabor carne, cereales y leche deslactosada;Dogourmet;Canino ;Cachorro;24,00;12,00;11,00;12,00;3,00;38,00;3,41;417,70;360,58;335,62;6,00;Cereales y subproductos de cereales (maíz, arroz y/o trigo), Harinas de carne y/o harina de pescado, Subproductos de pollo, Grasa y/o aceites de origen animal, Concentrados proteicos de origen vegetal;"Harinas de carne y/o harina de pescado; Concentrados proteicos de origen vegetal";Grasa y/o aceites de origen animal;Cereales y subproductos de cereales (maíz, arroz y/o trigo);Subproductos de pollo
65;Dogourmet sabor carne a la parrilla con cereales y vegetales;Dogurment;Canino ;Adulto;21,00;6,00;11,00;12,00;4,00;46,00;4,55;381,10;322,79;300,95;3,50;Cereales y subproductos de cereales,harinas de carne y/o harina de pescado, harina de soya, concentrados proteicos de origen vegetal hidrolizado de proteina animal, levadura de cerveza;"harinas de carne y/o harina de pescado; harina de soya; concentrados proteicos de origen vegetal hidrolizado de proteina animal";—;Cereales y subproductos de cereales;levadura de cerveza
66;Earthborn Holistic Weight Control;Earthborn ;Canino;Adulto;25,00;9,00;7,00;10,00;7,00;42,00;7,78;428,00;342,73;316,73;18,00;Harina de pollo, arroz integral, cebada, avena, grasa de pollo;Harina de pollo;grasa de pollo;"arroz integral; cebada; avena";—
67;Sabueso;EMPLETEX;Canino ;Cachorro ;28,00;9,00;8,00;12,00;4,00;39,00;4,55;420,50;356,16;327,04;0,40;Maiz,soya, harina de carne, salvado de trigo, grasa animal;"soya; harina de carne";grasa animal;"Maiz; salvado de trigo";—
68;Eukanuba Puppy Medium;Eukanuba;Canino ;Cachorro ;30,00;16,00;8,00;10,00;3,00;33,00;3,33;469,00;405,37;374,17;7,50;Pollo, maíz, trigo, grasa de pollo, pulpa remolacha;Pollo;grasa de pollo;"maíz; trigo; pulpa remolacha";—
69;Eukanuba Small Breed;Eukanuba;Canino ;Adulto ;28,00;17,00;8,00;10,00;3,00;34,00;3,33;471,10;407,19;378,07;8,00;Pollo, maíz, trigo, grasa, pulpa remolacha;Pollo;grasa;"maíz; trigo; pulpa remolacha";—
70;Eukanuba Senior Small;Eukanuba;Canino ;Senior;26,00;14,00;8,00;10,00;5,00;37,00;5,56;452,00;376,32;349,28;8,50;Pollo, maíz, cebada, grasa, fibra;Pollo;grasa;"maíz; cebada; fibra";—
71;EUKANUBA MEDIUM BREED;Eukanuba;Canino ;Adulto;25,00;16,00;8,00;10,00;5,00;36,00;5,56;461,00;383,81;357,81;9,00;Harina de subproductos de pollo, trigo integral molido, harina de maíz, sorgo integral molido, grasa de pollo;Harina de subproductos de pollo;grasa de pollo;"trigo integral molido; harina de maíz; sorgo integral molido";—
